Energy,Peak,PCOM,PCOM1,SE,DE,PTOT,Ei*Rij
(keV),(%),(%),(%),(%),(%),(%)
10,0.0012,0.000,0.000,0.000,0.000,0.001,0.000
15,3.3061,0.000,0.000,0.000,0.000,3.306,0.496
20,22.846,0.000,0.000,0.000,0.000,23.084,4.607
25,45.192,0.000,0.000,0.000,0.000,48.648,11.979
30,60.784,0.000,0.000,0.000,0.000,71.736,20.788
35,70.419,0.000,0.000,0.000,0.000,89.884,29.886
40,76.265,0.000,0.000,0.000,0.000,102.847,38.675
45,80.088,0.000,0.000,0.000,0.000,111.789,46.915
50,82.628,0.000,0.000,0.000,0.000,120.106,55.519
55,84.382,0.001,0.000,0.000,0.000,124.464,63.189
60,85.635,0.002,0.001,0.000,0.000,128.646,71.150
70,80.062,0.010,0.008,0.000,0.000,133.826,86.226
80,82.034,0.041,0.039,0.000,0.000,144.185,104.447
90,83.563,0.122,0.119,0.000,0.000,142.965,117.203
100,84.711,0.278,0.273,0.000,0.000,147.298,133.413
120,86.010,0.894,0.869,0.000,0.000,162.194,169.707
150,85.803,2.726,2.543,0.000,0.000,165.513,212.089
180,83.088,5.751,5.148,0.000,0.000,182.592,260.957
200,79.962,8.349,7.309,0.000,0.000,182.430,282.368
220,76.047,11.228,9.650,0.000,0.000,179.592,295.121
240,71.694,14.207,12.021,0.000,0.000,178.318,305.908
260,67.220,17.129,14.308,0.000,0.000,176.869,314.848
280,62.845,19.893,16.438,0.000,0.000,169.861,314.877
300,58.703,22.441,18.377,0.000,0.000,148.459,297.921
330,53.061,25.814,20.907,0.000,0.000,154.762,313.712
370,46.667,29.489,23.613,0.000,0.000,154.792,318.345
400,42.605,31.699,25.213,0.000,0.000,156.409,329.350
450,37.140,34.547,27.246,0.000,0.000,153.944,341.228
500,32.875,36.587,28.687,0.000,0.000,140.875,336.641
550,26.661,38.038,29.703,0.000,0.000,144.584,356.353
600,23.863,39.057,30.413,0.000,0.000,126.816,342.132
650,21.573,39.764,30.902,0.000,0.000,121.489,346.881
700,19.684,40.225,31.222,0.000,0.000,110.271,344.219
760,17.806,40.551,31.456,0.000,0.000,117.980,373.044
830,16.014,40.713,31.578,0.000,0.000,107.561,374.406
910,14.361,40.688,31.583,0.000,0.000,104.732,390.989
1000,12.886,40.464,31.449,0.000,0.000,104.537,413.513
1100,11.574,40.067,31.200,0.004,0.005,101.214,433.143
1200,10.505,39.568,30.871,0.019,0.026,98.785,453.356
1300,9.6078,39.007,30.510,0.049,0.064,95.739,471.730
1400,8.8441,38.403,30.111,0.093,0.121,89.658,484.761
1500,8.1829,37.775,29.689,0.150,0.197,91.573,509.254
1600,7.6017,37.119,29.238,0.236,0.310,87.870,524.755
1700,7.0846,36.470,28.788,0.326,0.427,87.708,545.516
1800,6.6200,35.835,28.347,0.417,0.547,85.532,562.481
1900,6.1964,35.223,27.931,0.508,0.667,85.185,582.892
2000,5.8103,34.633,27.519,0.599,0.786,83.660,599.873
2200,5.1327,33.527,26.739,0.777,1.020,81.964,637.030
2400,4.5534,32.525,26.031,0.947,1.243,79.855,672.693
2600,4.0444,31.632,25.405,1.108,1.454,79.392,708.202
2800,3.5964,30.836,24.846,1.259,1.652,77.508,740.574
3000,3.5076,29.832,24.172,1.397,1.833,76.829,792.733
3500,2.6604,29.003,23.192,1.575,2.067,75.327,893.155
4000,1.9725,28.673,22.531,1.683,2.209,73.986,984.285
4500,1.3963,28.684,22.106,1.745,2.290,75.039,1115.086
5000,0.8907,28.937,21.881,1.777,2.331,74.719,1200.618
6000,0.4343,29.881,21.872,1.792,2.351,76.577,1513.669
7000,0.4128,31.140,22.274,1.781,2.337,77.943,1773.137
8000,0.3971,32.513,22.920,1.767,2.319,80.809,2153.217
10000,0.3797,35.240,24.511,1.759,2.308,84.893,2708.543
12000,0.3751,37.725,26.195,1.780,2.335,91.109,3556.687
20000,0.4082,44.746,31.383,2.010,2.638,116.750,7799.661
50000,0.5913,56.422,39.226,2.959,3.882,169.875,24145.385
100000,0.7968,63.581,42.731,3.993,5.239,223.171,47496.906
